VNUM	LOCALE_NAME
1	íÇäÛ
2	äÓÎÉ ÚÑÈíÉ
10	Óíİ+0
11	Óíİ+1
12	Óíİ+2
13	Óíİ+3
14	Óíİ+4
15	Óíİ+5
16	Óíİ+6
17	Óíİ+7
18	Óíİ+8
19	Óíİ+9
20	Óíİ Øæíá+0
21	Óíİ Øæíá+1
22	Óíİ Øæíá+2
23	Óíİ Øæíá+3
24	Óíİ Øæíá+4
25	Óíİ Øæíá+5
26	Óíİ Øæíá+6
27	Óíİ Øæíá+7
28	Óíİ Øæíá+8
29	Óíİ Øæíá+9
30	Óíİ ãäÌáí+0
31	Óíİ ãäÌáí+1
32	Óíİ ãäÌáí+2
33	Óíİ ãäÌáí+3
34	Óíİ ãäÌáí+4
35	Óíİ ãäÌáí+5
36	Óíİ ãäÌáí+6
37	Óíİ ãäÌáí+7
38	Óíİ ãäÌáí+8
39	Óíİ ãäÌáí+9
40	Óíİ ÎíÒÑÇäí+0
41	Óíİ ÎíÒÑÇäí+1
42	Óíİ ÎíÒÑÇäí+2
43	Óíİ ÎíÒÑÇäí+3
44	Óíİ ÎíÒÑÇäí+4
45	Óíİ ÎíÒÑÇäí+5
46	Óíİ ÎíÒÑÇäí+6
47	Óíİ ÎíÒÑÇäí+7
48	Óíİ ÎíÒÑÇäí+8
49	Óíİ ÎíÒÑÇäí+9
50	Óíİ ÚÑíÖ+0
51	Óíİ ÚÑíÖ+1
52	Óíİ ÚÑíÖ+2
53	Óíİ ÚÑíÖ+3
54	Óíİ ÚÑíÖ+4
55	Óíİ ÚÑíÖ+5
56	Óíİ ÚÑíÖ+6
57	Óíİ ÚÑíÖ+7
58	Óíİ ÚÑíÖ+8
59	Óíİ ÚÑíÖ+9
60	Óíİ İÖí+0
61	Óíİ İÖí+1
62	Óíİ İÖí+2
63	Óíİ İÖí+3
64	Óíİ İÖí+4
65	Óíİ İÖí+5
66	Óíİ İÖí+6
67	Óíİ İÖí+7
68	Óíİ İÖí+8
69	Óíİ İÖí+9
70	Óíİ ÃæÑÔíÏí+0
71	Óíİ ÃæÑÔíÏí+1
72	Óíİ ÃæÑÔíÏí+2
73	Óíİ ÃæÑÔíÏí+3
74	Óíİ ÃæÑÔíÏí+4
75	Óíİ ÃæÑÔíÏí+5
76	Óíİ ÃæÑÔíÏí+6
77	Óíİ ÃæÑÔíÏí+7
78	Óíİ ÃæÑÔíÏí+8
79	Óíİ ÃæÑÔíÏí+9
80	Óíİ ÔÇĞ+0
81	Óíİ ÔÇĞ+1
82	Óíİ ÔÇĞ+2
83	Óíİ ÔÇĞ+3
84	Óíİ ÔÇĞ+4
85	Óíİ ÔÇĞ+5
86	Óíİ ÔÇĞ+6
87	Óíİ ÔÇĞ+7
88	Óíİ ÔÇĞ+8
89	Óíİ ÔÇĞ+9
90	Óíİ ÈÑÈÑí+0
91	Óíİ ÈÑÈÑí+1
92	Óíİ ÈÑÈÑí+2
93	Óíİ ÈÑÈÑí+3
94	Óíİ ÈÑÈÑí+4
95	Óíİ ÈÑÈÑí+5
96	Óíİ ÈÑÈÑí+6
97	Óíİ ÈÑÈÑí+7
98	Óíİ ÈÑÈÑí+8
99	Óíİ ÈÑÈÑí+9
100	Óíİ Ïãæí+0
101	Óíİ Ïãæí+1
102	Óíİ Ïãæí+2
103	Óíİ Ïãæí+3
104	Óíİ Ïãæí+4
105	Óíİ Ïãæí+5
106	Óíİ Ïãæí+6
107	Óíİ Ïãæí+7
108	Óíİ Ïãæí+8
109	Óíİ Ïãæí+9
110	Óíİ ßÈíÑ+0
111	Óíİ ßÈíÑ+1
112	Óíİ ßÈíÑ+2
113	Óíİ ßÈíÑ+3
114	Óíİ ßÈíÑ+4
115	Óíİ ßÈíÑ+5
116	Óíİ ßÈíÑ+6
117	Óíİ ßÈíÑ+7
118	Óíİ ßÈíÑ+8
119	Óíİ ßÈíÑ+9
120	Óíİ ÓÍÑí+0
121	Óíİ ÓÍÑí+1
122	Óíİ ÓÍÑí+2
123	Óíİ ÓÍÑí+3
124	Óíİ ÓÍÑí+4
125	Óíİ ÓÍÑí+5
126	Óíİ ÓÍÑí+6
127	Óíİ ÓÍÑí+7
128	Óíİ ÓÍÑí+8
129	Óíİ ÓÍÑí+9
130	Óíİ åáÇáí+0
131	Óíİ åáÇáí+1
132	Óíİ åáÇáí+2
133	Óíİ åáÇáí+3
134	Óíİ åáÇáí+4
135	Óíİ åáÇáí+5
