VNUM	LOCALE_NAME
101	ßáÈ ÈÑøí
102	ĞÆÈ
103	ĞÆÈ ÇáÈÇÏíÉ
104	ÇáĞÆÈ ÇáÃÒÑŞ
105	ĞÆÈ ÇáÈÇÏíÉ ÇáÃÒÑŞ
106	ÇáĞÆÈ ÇáÑãÇÏí
107	ĞÆÈ ÇáÈÇÏíÉ ÇáÑãÇÏí
108	ÎäÒíÑ ÈÑí
109	ÎäÒíÑ ÈÑí ÃÍãÑ
110	ÏÈ
111	ÏÈ ÃÔíÈ
112	ÏÈ ÃÓæÏ
113	ÏÈ Èäíøø
114	äãÑ
115	äãÑ ÃÈíÖ
131	ĞÆÈ ãáÚæä
132	ĞÆÈ ÈÇÏíÉ ãáÚæä
133	ĞÆÈ ÃÒÑŞ ãáÚæä
134	ĞÆÈ ÈÇÏíÉ ÃÒÑŞ ãáÚæä
135	ĞÆÈ ÑãÇÏí ãáÚæä
136	ĞÆÈ ÈÇÏíÉ ÑãÇÏí ãáÚæä
137	ÎäÒíÑ ÈÑí ãáÚæä
138	ÎäÒíÑ ÈÑí ÃÍãÑ ãáÚæä
139	ÏÈ ãáÚæä
140	ÏÈ ÃÔíÈ ãáÚæä
141	ÏÈ ÃÓæÏ ãáÚæä
142	ÏÈ Èäí ãáÚæä
143	äãÑ ãáÚæä
144	äãÑ ÃÈíÖ ãáÚæä
151	ßæäÌ-ãß
152	ãæ-ÑäÌ
153	ÌæÛ-åíæá
154	íæäÛ-Ìí
155	áí-Ãä
171	ßáÈ ÌÇÆÚ ÊÇÆå
172	ĞÆÈ ÌÇÆÚ
173	ĞÆÈ ÈÇÏíÉ ÌÇÆÚ
174	ĞÆÈ ÃÒÑŞ ÌÇÆÚ
175	ĞÆÈ ÈÇÏíÉ ÃÒÑŞ ÌÇÆÚ
176	ĞÆÈ ÑãÇÏí ÌÇÆÚ
177	ĞÆÈ ÈÇÏíÉ ÑãÇÏí ÌÇÆÚ
178	ÎäÒíÑ ÈÑí ÌÇÆÚ
179	ÎäÒíÑ ÈÑí ÃÍãÑ ÌÇÆÚ
180	ÏÈ ÌÇÆÚ
181	ÏÈ ÃÔíÈ ÌÇÆÚ
182	ÏÈ ÃÓæÏ ÌÇÆÚ
183	ÏÈ Èäí ÌÇÆÚ
184	äãÑ ÌÇÆÚ
185	äãÑ ÃÈíÖ ÌÇÆÚ
191	áíßæÓ
192	ÓßÑæİÇ
193	ÈÑÇ
194	ÊíÛÑÓ
301	ÌäÏíÉ ŞÇÓãí Çáíãíä ÃÈíÖ
302	ÑÇãíÉ ÓåÇã ŞÇÓã íãíä ÃÈ.
303	ÌäÑÇáÉ ŞÇÓãí Çáíãíä ÃÈíÖ
304	ŞÇÆÏÉ ŞÇÓãí Çáíãíä ÃÈíÖ
331	ÌäÏíÉ ŞÇÓãí Çáíãíä ÃÈíÖ
332	ÑÇãíÉ ÓåÇã ŞÇÓã íãíä ÃÈ.
333	ÌäÑÇáÉ ŞÇÓãí Çáíãíä ÃÈíÖ
334	ŞÇÆÏÉ ŞÇÓãí Çáíãíä ÃÈíÖ
351	ÌäÏí ÌÈÇä ŞÇÓã.íãíä ÃÈíÖ
352	ÑÇãí ÓåÇã ÌÈÇä ŞÇÓã. í.Ã
353	ÌäÑÇá ÌÈÇä ŞÇÓã. í.Ã
354	ŞÇÆÏ ÌÈÇä ŞÇÓã. í.Ã
391	ãí-ÌæäÛ
392	Çæä-ÌæäÛ
393	Óí-ÑÇäÛ
394	Ìä-åí
395	ãí-ÌæäÛ ÇáãÑÊÚÔÉ
396	Çæä-ÌæäÛ ÇáãÑÊÚÔÉ
397	Óí-ÑÇäÛ ÇáãÑÊÚÔÉ
398	Ìä-åí ÇáãÑÊÚÔÉ
401	ÌäÏí ÇáÑíÍ ÇáÃÓæÏ
402	ÇáãåææÓ ÇáÑíÍí ÇáÃÓæÏ
403	ÑÇãí ÓåÇã ÇáÑíÍí ÇáÃÓæÏ
404	ÌÇß-Êæ ÇáÑíÍí ÇáÃÓæÏ
405	Øæ-Óæ ÇáÑíÍí ÇáÃÓæÏ
406	Ûæ-ÑíäÛ ÇáÑíÍí ÇáÃÓæÏ
431	ÌäÏí ÚÇÕİí ÃÓæÏ
432	ÇáãåææÓ ÇáÚÇÕİí ÇáÃÓæÏ
433	ÑÇãí ÇáÓåÇã ÇáÃÓæÏ
434	Ìæå-åæÇä ÇáÚÇÕİí ÇáÃÓæÏ
435	ßíæß-ÌÇä ÇáÚÇÕİí ÇáÃÓæÏ
436	İæ-åæÇä ÇáÚÇÕİí ÇáÃÓæÏ
451	ÌäÏí ÚÇÕİí ÃÓæÏ ÎÈíË
452	ãåææÓ ÚÇÕİí ÎÈíË
453	ÑÇãí ÓåÇã ÚÇÕİí ÎÈíË
454	Ìæ-åæÇä-ÇáÚÇÕİí ÇáÎÈíË
455	ßíß ÌÇäÌ ÇáÚÇÕİí ÇáÎÈíË
456	İæ åæÇä ÇáÚÇÕİí ÇáÎÈíË
491	ãÇåæä
492	Èæ
493	Ûæ-Èí
494	ÔææäÛ
501	ÌäÏí ãÔÇÉ ãÊæÍÔ
502	ãØíÚ ãÊæÍÔ
503	ÑÇãí ÓåÇã æÍÔí
504	ÌäÑÇá ãÊæÍÔ
531	ÌäÏí ãÊæÍÔ
532	ãåææÓ ãÊæÍÔ
533	ÑÇãí ÓåÇã ãÊæÍÔ
534	ÇÎÕÇÆí ãÊæÍÔ
551	ÌäÏí ãÔÇÉ ãÊæÍÔ Şæí
552	ãØíÚ Şæí æÍÔí
553	ÑÇãí ÓåÇã Şæí æÍÔí
554	ÌäÑÇá Şæí æÍÔí
591	ÒÚíã ãÊæÍÔ
595	Ìæã Ôá ãÊæÍÔ
601	Ûæá
602	Ûæá ÌÇÓæÓ
603	Ûæá ãŞÇÊá
604	Ûæá ÓÇÍÑ
631	Ûæá İÎæÑ
632	Ûæá ÌÇÓæÓ İÎæÑ
633	Ûæá ãŞÇÊá İÎæÑ
634	Ûæá ÓÇÍÑ İÎæÑ
635	ÌäÑÇá Ûæá İÎæÑ
636	Ûæá ÃÓæÏ
637	Ûæá ÃÓæÏ ÚãáÇŞ
651	Ûæá ßÈíÑ ÔÌÇÚ
652	Ûæá ÌÇÓæÓ ßÈíÑ ÔÌÇÚ
653	ãÍÇÑÈ Ûæá ßÈíÑ ÔÌÇÚ
654	ÓÇÍÑ Ûæá ßÈíÑ ÔÌÇÚ
655	ÌäÑÇá Ûæá ßÈíÑ ÔÌÇÚ
656	Ûæá ÃÓæÏ ÔÌÇÚ
657	Ûæá ÚãáÇŞ ÃÓæÏ ÔÌÇÚ
691	ÇáÛæá ÇáÃÚáì
692	ÇáÛæá ÇáÃÚáì ÇáÔÑíÑ
693	ŞÇÆÏ Ûæá ÔÈÍ
701	ãÊÚÕÈ ÙáÇãí
702	ÃÑÇåÇä ÙáÇãí
703	ÇáãÍÇÑÈ ÇáÔÑíÑ
704	ÇÑÇåÇä ÇáÃÚáì ÇáÔÑíÑ
705	ÇáÌáÇøÏ ÇáÔÑíÑ
706	ãÖØåÏ ÔÑíÑ
707	ãÔÚæĞ ÔÑíÑ
731	ãÊÚÕÈ ÙáÇãí İÎæÑ
732	ÃÑÇåÇä ÙáÇãí İÎæÑ
733	ãŞÇÊá ÙáÇãí İÎæÑ
734	ßæáæäíá ÙáÇãí İÎæÑ
735	ÑÇãí ÙáÇãí İÎæÑ
736	ãÖØåÏ ÔÑíÑ İÎæÑ
737	ÓÇÍÑ ÙáÇãí İÎæÑ
751	ãÊÚÕÈ ÃÚáì
752	ÃÑÇåÇä ÃÚáì
753	ãŞÇÊá ÃÑÇåÇä ÃÚáì
754	ŞÇÆÏ ÃÑÇåÇä ÇáÃÚáì
755	ÚÏøÇã ÃÚáì
756	ãÖØåÏ ÃÚáì
757	ãÔÚæĞ ÃÚáì
771	ãÊÚÕÈ æÍÔí
772	ÃÑÇåÇä æÍÔí
773	ãŞÇÊá ÃÑÇåÇä æÍÔí
774	ÃÑÇåÇä ÃÚáì æÍÔí
775	ÌáÇøÏ æÍÔí
776	ãÖØåÏ æÍÔí
777	ãÔÚæĞ æÍÔí
791	ÇáŞÇÆÏ ÇáÔÑíÑ
792	ŞÇÆÏ ÇáÔÈÍ ÇáÔÑíÑ
793	ŞÇÆÏ ÇáäÎÈÉ ÇáÔÑíÑ
794	ŞÇÆÏ ÔÈÍ ÇáäÎÈÉ
795	ãŞÇÊá ÇáäÎÈÉ
796	ãŞÇÊá ÇáäÎÈÉ ÇáÔÑíÑ
901	ÔÈÍ ÇáÌËÉ
902	ßáÈ ãÓÚæÑ
903	ÑÌá ãÓÚæÑ
904	ãÍÇÑÈ ÇáÓíøİ ÇáãÓÚæÑ
905	ãÍÇÑÈ ÇáÑãÇÍ ÇáãÓÚæÑ
906	ÑÇãí ÓåÇã ãÓÚæÑ
907	ŞÇÆÏ ÇáãÓÚæÑíä
931	ÔÈÍ ÌËøÉ ÛÇÖÈ
932	ßáÈ ãÓÚæÑ ÛÇÖÈ
933	ÑÌá ãÓÚæÑ ÛÇÖÈ
934	ãÍÇÑÈ ãÓÚæÑ ÛÇÖÈ
935	ãÍÇÑÈ ÑãÇÍ ãÓÚæÑ ÛÇÖÈ
936	ÑÇãí ÓåÇã ãÓÚæÑ ãÊæÍÔ
937	ŞÇÆÏ ãÓÚæÑíä ÛÇÖÈ
991	ÈíÖÉ ÏÇÁ ÇáÓÚÇÑ
992	ÍÇãá ÏÇÁ ÇáÓÚÇÑ
993	ÍÇãá ÚãáÇŞ áÏÇÁ ÇáÓÚÇÑ
1001	ÌäÏí ÔíØÇäí
1002	ÑÇãí ÇáÓåÇã ÇáÔíØÇäí
1003	ÑÇãí ÇáÑãÇÍ ÇáÔíØÇäí
1004	ÔÇãÇä ÔíØÇäí
1031	ÌäÏí ÎÓíÓ
1032	ÑÇãí ÓåÇã ÎÓíÓ
1033	ÌäÏí ÎÓíÓ ÈÍÑÈÉ ŞÇÊáÉ
1034	ÔÇãÇä ÎÓíÓ
1035	ÔÈÍ ÇáÍŞÏ
1036	ÔÈÍ ÇáİæÖì
1037	ŞÇÆÏ ÇáÔíÇØíä ÇáÎÓíÓÉ
1038	ÔÈÍ ÇáãÓÇíİÉ ÇáÃÒáí
1039	ÌãÌãÉ ØÇÆÑÉ
1040	ÇáÔÈÍ ÇáÎÇáÏ
1041	æÍÔ ÔíØÇäí
1061	ÌäÏí ÔíØÇäí æÍÔí
1062	ÑÇãí ÔíØÇäí æÍÔí
1063	ÇáÑãÇÍ ÇáÔíØÇäí ÇáæÍÔí
1064	ÔÇãÇä ÇáÔÈÍ ÇáÎÓíÓ
1065	ÔÈÍ ÇáÍŞÏ ÇáÎÓíÓ
1066	ÔÈÍ ÇáİæÖì ÇáÎÓíÓ
1067	ŞÇÆÏ ÇáÔíÇØíä ÇáæÍÔí
1068	ÔÈÍ ÇáãÓÇíİÉ ÇáÈÇÑÚ
1069	ÑÃÓ Çáåíßá ÇáØÇÆÑ ÇáÎÈíË
1070	ÇáÔÈÍ ÇáÎÇáÏ
1071	æÍÔ ÔíØÇäí
1091	ãáß ÇáÔíÇØíä
1092	ãáß ÇáÔíÇØíä ÇáİÎæÑ
1093	ŞÇÈÖ ÇáÃÑæÇÍ
1094	ãáß ÇáÔíÇØíä ÇáÎÓíÓ
1095	ÇáãæÊ ÇáÃÒÑŞ
1096	Áø»ç±Í¿Õ
1101	ÌáíÏ ãÓÍæÑ
1102	ÇáÍæÊ ÇÇáÌáíÏí ÇáŞÇÊá
1103	ÍÔÑÇÊ ÇáÌáíÏ
1104	ÃÓÏ ÇáÌáíÏ
1105	ÑÌá ÇáËáÌ
1106	íÊí
1107	ÊãËÇá ÇáÌáíÏ
1108	ÊãËÇá ÇáÌáíÏ
1131	ÔÙì ÇáÌáíÏ ãä ÇáÌÍíã
1132	ÍæÊ ÇáÌáíÏ ãä ÇáÌÍíã
1133	ÍÔÑÉ ÇáÌáíÏ ãä ÇáÌÍíã
1134	ÃÓÏ ÇáÌáíÏ ãä ÇáÌÍíã
1135	ÑÌá ÇáÌáíÏ ãä ÇáÌÍíã
1136	ÇáÑÌá ÇáËáÌí ãä ÇáÌÍíã
1137	ÊãËÇá ÇáÌáíÏ ãä ÇáÌÍíã
1138	ÊãËÇá ÇáÌáíÏ ãä ÇáÌÍíã
1151	ÔíØÇä ÇáÌáíÏ
1152	ÍæÊ ÌáíÏí ŞÇÊá
1153	ÍÔÑÉ ÇáÌáíÏ
1154	Óæá Ûæ
1155	ÑÌá ÇáÌáíÏ
1156	ÚãáÇŞ ÇáÌáíÏ
1157	ÊãËÇá ÇáÌáíÏ
1171	ÇáÌáíÏ ÇáÎÈíË ÇáãÓÍæÑ
1172	ÍæÊ ÌáíÏí ŞÇÊá ÎÈíË
1173	ÍÔÑÉ ÇáÌáíÏ ÇáÎÈíËÉ
1174	ÃÓÏ ÇáÌáíÏ ÇáÎÈíË
1175	ÑÌá ÇáÌáíÏ ÇáÎÈíË
1176	íÊí ÇáÎÈíË
1177	ÊãËÇá ÇáÌáíÏ ÇáÎÈíË
1191	ÓÇÍÑÉ  ÇáÌáíÏ
1192	ÓÇÍÑÉ ÌáíÏ ßÈíÑÉ
1301	ÌäÏí ÖİÏÚ ÇáÔÌÑÉ
1302	ŞÇÆÏ ÖİÏÚ ÇáÔÌÑÉ
1303	ÈÚÈÚ
1304	ÔÈÍ ÇáäãÑ ÇáÃÕİÑ
1305	ÌäÑÇá ÖİÏÚ ÇáËæÑ
1306	ÔÈÍ äãÑ ÃÕİÑ ÎÈíË
1307	ÔÈÍ äãÑ ÃÕİÑ ÎÈíË
1308	ÔÈÍ äãÑ ÃÕİÑ ÎÈíË
1309	ÔÈÍ äãÑ ÃÕİÑ ÎÈíË
1310	ÔÈÍ äãÑ ÃÕİÑ ÎÈíË
1331	ÌäÏí ÖİÏÚ ÇáÔÌÑÉ ÇáßÈíÑ
1332	ŞÇÆÏ ÖİÏÚ ÇáÔÌÑÉ ÇáßÈíÑ
1333	ÈÚÈÚ ßÈíÑ
1334	ÔÈÍ ÇáäãÑ ÇáÃÕİÑ ÇáßÈíÑ
1335	ÌäÑÇá ÖİÏÚ ÇáËæÑ ÇáßÈíÑ
1336	ÌäÑÇá ÖİÏÚ ÇáËæÑ
1401	ãÏãÑ
1402	ãÍÇÑÈ İÃÓ
1403	Ãáİ ãÍÇÑÈ
1501	ÊãËÇá ÍÌÑ
1502	Âßá ÇáÍÌÑ
1503	ÊãËÇá ÍÌÑí ßÈíÑ
1601	ãÍÇÑÈ ÑåíÈ
1602	ÌÒÇÑ ÑåíÈ
1603	ãŞÇÊá ÑåíÈ
1901	Ğæ ÇáÊÓÚÉ Ğíæá
1902	Ğæ ÇáÊÓÚÉ Ğíæá ÇáäÎÈÉ
1903	Ğæ ÇáÊÓÚÉ Ğíæá ÇáäÎÈÉ
1904	Ğæ ÇáÊÓÚÉ Ğíæá ÇáäÎÈÉ
1905	Ğæ ÇáÊÓÚÉ Ğíæá ÇáäÎÈÉ
1906	Ğæ ÇáÊÓÚÉ Ğíæá ÇáäÎÈÉ
2001	ÚäßÈæÊ ÑÖíÚ
2002	ÚäßÈæÊ ÓÇã
2003	ÚäßÈæÊ ÃÍãÑ ÓÇã
2004	ÚäßÈæÊ Ğæ ãÎÇáÈ
2005	ÌäÏí ÚäßÈæÊ
2031	ÚäßÈæÊ ÑÖíÚ ÓÇã
2032	ÚäßÈæÊ ÓÇã ŞÇÊá
2033	ÚäßÈæÊ ÃÍãÑ ÓÇã ŞÇÊá
2034	ÚäßÈæÊ ÓÇã Ğæ ãÎÇáÈ
2035	ÌäÏí ÓÇã ÚäßÈæÊí
2036	ÌäÏí ÚäßÈæÊ ÓÇã İÎæÑ
2037	ÌäæÏ ÇáÚäÇßÈ ÇáÓÇãÉ
2051	ÚäßÈæÊ ÑÖíÚ ÓÇã ÎÈíË
2052	ÚäßÈæÊ ÓÇã ŞÇÊá ÎÈíË
2053	ÚäßÈæÊ ÓÇã ÃÍãÑ ÎÈíË
2054	ÚäßÈæÊ ÓÇã Ğæ ãÎÇáÈ ÎÈíË
2055	ÌäÏí ÚäßÈæÊ ÓÇã ÎÈíË
2061	ÚäßÈæÊ ÓÇã ÕÛíÑ
2062	ÚäßÈæÊ ÓÇã ŞÇÊá
2063	ÚäßÈæÊ ÓÇã ŞÇÊá ÃÍãÑ
2064	ÚäßÈæÊ ÓÇã Ğæ ãÎÇáÈ
2065	ÌäæÏ ÇáÚäÇßÈ ÇáÓÇãÉ
2071	ÚäßÈæÊ ÑÖíÚ ÓÇã æÍÔí
2072	ÚäßÈæÊ ÓÇã ŞÇÊá æÍÔí
2073	ÚäßÈæÊ ÃÍãÑ ÓÇã ŞÇÊá
2074	ÚäßÈæÊ ÓÇã Ğæ ãÎáÈ æÍÔí
2075	ÌäÏí ÚäßÈæÊ æÍÔí
2076	ÚäßÈæÊ ÓÇã æÍÔí Şæí
2091	ÇáãáßÉ ÇáÚäßÈæÊ
2092	ÈÇÑæäÉ ÇáÚäÇßÈ
2093	ÇáÚäßÈæÊÉ ÇáãáßÉ ÇáÔÑíÑÉ
2094	ÈÇÑæä ÇáÚäÇßÈ
2095	ÈíÖÉ ÇáÚäßÈæÊ
2101	ËÚáÈ ÇáÕÍÑÇÁ
2102	Úíä ØÇÆÑÉ ÕÍÑÇæíÉ
2103	ÇáÚŞÑÈ Çáãáß
2104	ÇáÑÌá ÇáÚŞÑÈ ÇáÔÇÈ
2105	ÑÇãí ÓåÇã ÚŞÑÈí
2106	ãÍÇÑÈ ÇáÓíİ ÇáËÚÈÇäí
2107	ÑÇãí ÓåÇã ËÚÈÇäí
2108	ŞÇØÚ ØÑŞ ÕÍÑÇæí
2131	ÇáÑÌá ÇáÚŞÑÈ ÇáæÍÔí
2132	ÑÇãí ÇáÓåÇã ÇáÚŞÑÈíÉ
2133	ãÍÇÑÈ ÇáÓíİ ÇáËÚÈÇäí
2134	ÑÇãí ÓåÇã ËÚÈÇäí
2135	ŞÇØÚ ØÑŞ ÕÍÑÇæí
2151	ËÚáÈ ÇáÕÍÑÇÁ ÇáŞæí
2152	ÏÑæíÔ Şæí
2153	ÇáÚŞÑÈ Çáãáß ÇáŞæí
2154	ÇáÑÌá ÇáÚŞÑÈ ÇáŞæí
2155	ÇáÚŞÑÈ ÇáÑãøÇÍ ÇáŞæí
2156	ãÍÇÑÈ ÃİÇÚí Şæí
2157	ÑÇãí ÓåÇã ËÚÈÇäí Şæí
2158	ŞÇØÚ ØÑŞ ÕÍÑÇæí Şæí
2191	ÓáÍİÇÉ ÕÍÑÇÁ ßÈíÑÉ
2192	ÓáÍİÇÉ ÕÍÑÇÁ ÙáÇãíÉ
2201	äãÑ ÎÇÏã ãŞÇÊá
2202	ÔÈÍ ÇáäÇÑ
2203	äãÑ ãŞÇÊá
2204	äÇÑ
2205	ãÍÇÑÈ äÇÑí
2206	ãáß ÇáäøÇÑ
2207	ãáß ÇáäøÇÑ ÇáÔÑíÑ
2231	äãÑ ÎÇÏã ãŞÇÊá Şæí
2232	ÔÈÍ ÇáäÇÑ ÇáŞæí
2233	äãÑ ãŞÇÊá Şæí
2234	äÇÑ ŞæíøÉ
2235	ãÍÇÑÈ äÇÑí Şæí
2291	Êäíä ÃÍãÑ
2301	ÔÌÑÉ ÃÔÈÇÍ
2302	ÌĞÚ ÔÌÑÉ ÃÔÈÇÍ
2303	ÏÑíÇÏ
2304	ãÑÌ ÇáÃÔÈÇÍ
2305	ÔÌÑÉ ÎÈíËÉ
2306	ÔÌÑÉ ÃÔÈÇÍ ŞÏíãÉ
2307	ÓíÏ ÔÌÑÉ ÇáÃÔÈÇÍ
2311	ÔÌÑÉ ÃÔÈÇÍ ÍãÑÇÁ
2312	ÌĞÚ ÔÌÑÉ ÃÔÈÇÍ ÍãÑÇÁ
2313	ÏÑíÇÏ ÍãÑÇÁ
2314	ãÑÌ ÇáÃÔÈÇÍ ÇáÃÍãÑ
2315	ÔÌÑÉ ÍãÑÇÁ ÎÈíËÉ
2401	ãÍÇÑÈ ÓíÊÇæ
2402	ÕíøÇÏ ÓíÊÇæ
2403	ÚÑøÇİÉ ÓíÊÇæ
2404	ŞÇÆÏ ÓíÊÇæ
2411	ÌäÏí ÓíÊÇæ
2412	ÑÇãí ÇáÓåÇã-ÓíÊÇæ
2413	ÇáŞÇÆÏÉ ÓíÊÇæ
2414	ŞÇÆÏ ÃÚáì-ÓíÊÇæ
2415	ŞÇÆÏ ÃÚáì-ÓíÊÇæ
2431	ÃµÀÇº´»ç
2432	ÃµÀÇ±Ãº´
2433	ÃµÀÇ¹ı»ç
2434	ÃµÀÇÀå¼ö
2451	ÁøÃµÀÇº´»ç
2452	ÁøÃµÀÇ±Ãº´
2453	ÁøÃµÀÇ¹ı»ç
2454	ÁøÃµÀÇÀå¼ö
2491	ÇáÒÚíã íæäÛÇä
2492	ÇáÌäÑÇá íæäÛÇä
2493	ÈíÑÇä-ÓíÊÇæ
2494	ÇáÒÚíã åæÇÔíä
2495	ÇáÌäÑÇá åæÇÔíä
2501	ŞäÏíá ÈÍÑ ÇáÌÍíã
2502	ßáÈ ÇáÌÍíã
2503	ÒæãÈí
2504	ÖÇÈØ ÇáÌÍíã
2505	ÍÇÑÓ ÇáÌÍíã
2506	ŞäÇÕ ÇáÌÍíã-Ğæ ÇáÑÃÓíä
2507	ŞÇÈÖ ÇáÌÍíã
2508	ãÍÇÑÈ ÇáÌÍíã
2509	ŞäÇÕ ÇáÌÍíã
2510	ÑÇãí ÑãÇÍ ÇáÌÍíã
2511	ßÇåä ÇáÌÍíã
