VNUM	LOCALE_NAME
1	Yang
2	ÅëëçíéêŞ ¸êäïóç
10	Óğáèß+0
11	Óğáèß+1
12	Óğáèß+2
13	Óğáèß+3
14	Óğáèß+4
15	Óğáèß+5
16	Óğáèß+6
17	Óğáèß+7
18	Óğáèß+8
19	Óğáèß+9
20	Ìáêñı Óğáèß+0
21	Ìáêñı Óğáèß+1
22	Ìáêñı Óğáèß+2
23	Ìáêñı Óğáèß+3
24	Ìáêñı Óğáèß+4
25	Ìáêñı Óğáèß+5
26	Ìáêñı Óğáèß+6
27	Ìáêñı Óğáèß+7
28	Ìáêñı Óğáèß+8
29	Ìáêñı Óğáèß+9
30	×áôæÜñá+0
31	×áôæÜñá+1
32	×áôæÜñá+2
33	×áôæÜñá+3
34	×áôæÜñá+4
35	×áôæÜñá+5
36	×áôæÜñá+6
37	×áôæÜñá+7
38	×áôæÜñá+8
39	×áôæÜñá+9
40	ÓğÜèá Ìğáìğïı+0
41	ÓğÜèá Ìğáìğïı+1
42	ÓğÜèá Ìğáìğïı+2
43	ÓğÜèá Ìğáìğïı+3
44	ÓğÜèá Ìğáìğïı+4
45	ÓğÜèá Ìğáìğïı+5
46	ÓğÜèá Ìğáìğïı+6
47	ÓğÜèá Ìğáìğïı+7
48	ÓğÜèá Ìğáìğïı+8
49	ÓğÜèá Ìğáìğïı+9
50	Ğëáôı Óğáèß+0
51	Ğëáôı Óğáèß+1
52	Ğëáôı Óğáèß+2
53	Ğëáôı Óğáèß+3
54	Ğëáôı Óğáèß+4
55	Ğëáôı Óğáèß+5
56	Ğëáôı Óğáèß+6
57	Ğëáôı Óğáèß+7
58	Ğëáôı Óğáèß+8
59	Ğëáôı Óğáèß+9
60	Áóçìİíéï Óğáèß+0
61	Áóçìİíéï Óğáèß+1
62	Áóçìİíéï Óğáèß+2
63	Áóçìİíéï Óğáèß+3
64	Áóçìİíéï Óğáèß+4
65	Áóçìİíéï Óğáèß+5
66	Áóçìİíéï Óğáèß+6
67	Áóçìİíéï Óğáèß+7
68	Áóçìİíéï Óğáèß+8
69	Áóçìİíéï Óğáèß+9
70	Îßöïò ôçò Ïñ÷éäİáò+0
71	Îßöïò ôçò Ïñ÷éäİáò+1
72	Îßöïò ôçò Ïñ÷éäİáò+2
73	Îßöïò ôçò Ïñ÷éäİáò+3
74	Îßöïò ôçò Ïñ÷éäİáò+4
75	Îßöïò ôçò Ïñ÷éäİáò+5
76	Îßöïò ôçò Ïñ÷éäİáò+6
77	Îßöïò ôçò Ïñ÷éäİáò+7
78	Îßöïò ôçò Ïñ÷éäİáò+8
79	Îßöïò ôçò Ïñ÷éäİáò+9
80	ÓğÜèá+0
81	ÓğÜèá+1
82	ÓğÜèá+2
83	ÓğÜèá+3
84	ÓğÜèá+4
85	ÓğÜèá+5
86	ÓğÜèá+6
87	ÓğÜèá+7
88	ÓğÜèá+8
89	ÓğÜèá+9
90	Âáñâáñéêü Óğáèß+0
91	Âáñâáñéêü Óğáèß+1
92	Âáñâáñéêü Óğáèß+2
93	Âáñâáñéêü Óğáèß+3
94	Âáñâáñéêü Óğáèß+4
95	Âáñâáñéêü Óğáèß+5
96	Âáñâáñéêü Óğáèß+6
97	Âáñâáñéêü Óğáèß+7
98	Âáñâáñéêü Óğáèß+8
99	Âáñâáñéêü Óğáèß+9
100	Ìáôùìİíï Óğáèß+0
