VNUM	LOCALE_NAME
101	Aãñéüóêõëï
102	Ëıêïò
103	Áëöá Ëıêïò
104	Ìğëå Ëıêïò
105	¢ëöá Ìğëå Ëıêïò
106	Ãêñé Ëıêïò
107	Áëöá Ãêñé Ëıêïò
108	Áãñéü÷ïéñïò
109	Êüêêéíïò Áãñéü÷ïéñïò
110	Áñêïıäá
111	Áñêïıäá Ãêñßæëõ
112	Ìáıñç Áñêïıäá
113	Êáöİ Áñêïıäá
114	Ôßãñç
115	ËåõêŞ Ôßãñç
131	Êáôáñáìİíïò Ëıêïò
132	Êáôáñáìİíïò Áëöá Ëıêïò
133	Êáôáñáìİíïò Ìğëå Ëıêïò
134	Êáôáñ. Áëöá Ìğëå Ëıêïò
135	Êáôáñáìİíïò Ãêñé Ëıêïò
136	Êáôáñ. Áëöá Ãêñé Ëıêïò
137	Êáôáñáìİíïò Áãñéü÷ïéñïò
138	Êáô.Êüêêéíïò Áãñéü÷ïéñïò
139	Êáôáñáìİíç Áñêïıäá
140	Êáôáñáì. Áñêïıäá Ãêñßæëõ
141	Êáôáñáì. Ìáıñç Áñêïıäá
142	Êáôáñáìİíç Êáöİ Áñêïıäá
143	Êáôáñáìİíç Ôßãñç
144	Êáôáñáìİíç ËåõêŞ Ôßãñç
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Ğåéíáóìİíï Óêõëß
172	Ğåéíáóìİíïò Ëıêïò
173	Ğåéíáóìİíïò ¢ëöá Ëıêïò
174	Ğåéíáóìİíïò Ìğëå Ëıêïò
175	Ğåéíáóì.¢ëöá Ìğëå Ëıêïò
176	Ğåéíáóìİíïò Ãêñé Ëıêïò
177	Ğåéíáóì.Áëöá Ãêñé Ëıêïò
178	Ğåéíáóìİíïò Áãñéü÷ïéñïò
179	Ğåéí. Êüê. Áãñéü÷ïéñïò
180	Ğåéíáóìİíç Áñêïıäá
181	Ğåéíáóìİíç Ãêñßæëõ
182	Ğåéíáóìİíç Ìáıñç Áñêïıäá
183	Ğåéíáóìİíç Êáöİ Áñêïıäá
184	Ğåéíáóìİíç Ôßãñç
185	Ğåéíáóìİíç ËåõêŞ Ôßãñç
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	ĞïëåìéóôŞò Ëåõêïı ¼ñêïõ
302	Ôïîüôçò Ëåõêïı ¼ñêïõ
303	Óôñáôçãüò Ëåõêïı ¼ñêïõ
304	ÄéïéêçôŞò Ëåõêïı ¼ñêïõ
331	ĞïëåìéóôŞò Ëåõêïı ¼ñêïõ
332	Ôïîüôçò Ëåõêïı ¼ñêïõ
333	Óôñáôçãüò Ëåõêïı ¼ñêïõ
334	ÄéïéêçôŞò Ëåõêïı ¼ñêïõ
351	Äåéëüò Ìá÷çôŞò Ë. ¼ñêïõ
352	Äåéëüò Ôïîüôçò Ë. ¼ñêïõ
353	Menelmacar
354	Äåéëüò Äéïéê. Ë. ¼ñêïõ
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	ÄåéëŞ Mi-Jung
396	ÄåéëŞ Eun-Jung
397	Äåéëïß Se-Rang
398	Äåéëïß Jin-Hee
401	Ìá÷çôŞò Ìáıñçò Ğôİñõãáò
402	Ìáíéáêüò Ìáıñçò Ğôİñõãáò
403	Ôïîüôçò Ìáıñçò Ğôİñõãáò
404	Jak-To Ìáıñçò Ğôİñõãáò
405	To-Su Ìáıñçò Ğôİñõãáò
406	Go-Ryung Ìáıñçò Ğôİñõãáò
431	Ìá÷çôŞò Ìáıñçò Èıåëëáò
432	Ìáíéáêüò Ìáıñçò Èıåëëáò
433	Ôïîüôçò Ìáıñçò Èıåëëáò
434	Joh-Hwan Ìáıñçò Èıåëëáò
435	Kyuk-Jan Ì. Èıåëëáò
436	Pho-Hwan Ìáıñçò Èıåëëáò
451	Óáôáíéêüò Óôñáôéşôçò
452	Óáôáíéêüò Ìáíéáêüò
453	Óáôáíéêüò Ôïîüôçò
454	Óáôáíéêüò Joh-Hwan
455	Óáôáíéêüò Kyuk-Jan
456	Óáôáíéêüò Pho-Hwan
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	ÂÜñâáñïò ĞåæéêÜñéïò
502	ÂÜñâáñïò Áêüëïõèïò
503	ÂÜñâáñïò Ôïîüôçò
504	ÂÜñâáñïò Óôñáôçãüò
531	Êôçíşäçò Óôñáôéşôçò
532	Êôçíşäçò Ìáíéáêüò
533	Êôçíşäçò Ôïîüôçò
534	Êôçíşäçò Åéäéêüò
551	Êáêüò ÂÜñâ. ĞåæéêÜñéïò
552	Êáêüò ÂÜñâáñïò Áêüëïõèïò
553	Êáêüò ÂÜñâáñïò Ôïîüôçò
554	Êáêüò ÂÜñâáñïò Óôñáôçãüò
591	Êôçíşäçò Ëï÷áãüò
595	Êôçíşäçò Geun-Chul
601	Ïñê
602	Áíé÷íåõôŞò Ïñê
603	Ìá÷çôŞò Ïñê
604	ÌÜãïò Ïñê
631	Áíşôåñïò Ïñê
632	Áíşôåñïò Ïñê Áíé÷íåõôŞò
633	Áíşôåñïò Ïñê Ìá÷çôŞò
634	Áíşôåñïò Ïñê ÌÜãïò
635	Áíşôåñïò Ïñê Óôñáôçãüò
636	Ìáıñïò Ïñê
637	Ìáıñïò Ïñê Ãßãáíôáò
651	ÌåãÜëïò Ïñê
652	ÌåãÜëïò Ïñê Áíé÷íåõôŞò
653	ÌåãÜëïò Ïñê Ìá÷çôŞò
654	ÌåãÜëïò Ïñê ÌÜãïò
655	ÌåãÜëïò Ïñê Óôñáôçãüò
656	ÌåãÜëïò Ìáıñïò Ïñê
657	Ìåã. Ìáıñïò Ãßãáíôáò Ïñê
691	Áñ÷çãüò Ïñê
692	Áíşôåñïò Áñ÷çãüò Ïñê
693	Áíáóôçìİíïò Áñ÷çãüò Ïñê
701	Óêïôåéíüò Öáíáôéêüò
702	Óêïôåéíüò Arahan
703	Åóşôåñïò Ìá÷çôŞò Arahan
704	Åóşôåñïò Áñ÷çãüò Arahan
705	Åóşôåñïò ÅêôåëåóôŞò
706	Óêïôåéíüò ÂáóáíéóôŞò
707	Óêïôåéíüò ÅğéêëçôŞò
731	Áğüêñõöïò öáíáôéêüò
732	Áğüêñõöïò Arahan
733	Áğüêñõöïò Ìá÷çôŞò
734	Áğüêñõöïò ÔáãìáôÜñ÷çò
735	Áğüêñõöïò ÓêïğåõôŞò
736	Áíù Åóşôåñïò ÂáóáíéóôŞò
737	Áíù Åóşôåñïò ÅğéêëçôŞò
751	Õøçëüò Öáíáôéêüò
752	Õøçëüò Arahan
753	Õøçëüò Ìá÷çôŞò Arahan
754	Õøçëüò Áíşôåñïò Arahan
755	Õøçëüò ÄŞìéïò
756	Õøçëüò ÂáóáíéóôŞò
757	Õøçëüò ÅğéêëçôŞò
771	Êôçíşäçò Öáíáôéêüò
772	Êôçíşäçò Arahan
773	Êôçíşäçò Ìá÷çôŞò Arahan
774	Êôçíşäçò Áñ÷çãüò Arahan
775	Êôçíşäçò ÄŞìéïò
776	Êôçíşäçò ÂáóáíéóôŞò
777	Êôçíşäçò ÅğéêëçôŞò
791	Óêïôåéíüò Çãİôçò
792	Çãİôçò Ìáıñï ÖÜíôáóìá
793	Áíşôåñïò Ìáıñïò Çãİôçò
794	Áíù Ì.Çãİôçò ÖÜíôáóìá
795	Áíşôåñïò Ìá÷çôŞò
796	Áíşôåñïò Åóşô. Ìá÷çôŞò
