VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	ENABLE_FLAG	NEW_WORLD
14013	FACILITY	jedan	Zbrojíø	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20044	2	1	1	0
14014	FACILITY	jedan	Platnéø	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20045	2	1	1	0
14015	FACILITY	jedan	Klenotník	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20046	2	1	1	0
14033	FACILITY	suryeonjang	Cvièitì	-832.57	-472.99	832.57	472.99	0	0	360	20000000	90010,25/90011,25/90012,25	0	0	0	2	0
14043	FACILITY	yonggwangro	Pec na diamanty	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20060	3	1	1	0
14045	FACILITY	yonggwangro	Pec na zkam. døevo	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20062	3	1	1	0
14046	FACILITY	yonggwangro	Pec na mìï	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20063	3	1	1	0
14047	FACILITY	yonggwangro	Pec na støíbro	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20064	3	1	1	0
14048	FACILITY	yonggwangro	Pec na zlato	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20065	3	1	1	0
14049	FACILITY	yonggwangro	Pec na nefrit	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20066	3	1	1	0
14050	FACILITY	yonggwangro	Pec na eben. døevo	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20067	3	1	1	0
14051	FACILITY	yonggwangro	Pec na perly	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20068	3	1	1	0
14052	FACILITY	yonggwangro	Pec na bílé zlato	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20069	3	1	1	0
14053	FACILITY	yonggwangro	Pec na køiály	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20070	3	1	1	0
14054	FACILITY	yonggwangro	Pec na ametyst	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20071	3	1	1	0
14055	FACILITY	yonggwangro	Pec na nebeské slzy	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20072	3	1	1	0
14061	FACILITY	himuijedan_01	Oltáø síly	-523.91	-995.84	527.55	750.99	0	0	360	25000000	90010,25/90011,25/90012,25	20077	4	1	1	0
14062	FACILITY	himuijedan_02	Oltáø síly	-586.17	-995.84	587.18	818.56	0	0	360	500000000	90010,50/90011,50/90012,50	20078	4	4	2	0
14063	FACILITY	himuijedan_03	Oltáø síly	-664.7	-995.84	665.7	896.57	0	0	360	750000000	90010,75/90011,75/90012,75	20079	4	4	2	0
14071	FACILITY	guildbank_01	Cechovní skladitì	-523.91	-995.84	527.55	750.99	0	0	360	25000000	"90010,25/90011,25/90012,25"	60000	6	1	1	0
14072	FACILITY	guildbank_02	Cechovní skladitì	-586.17	-995.84	587.18	818.56	0	0	360	500000000	"90010,50/90011,50/90012,50"	60001	6	6	2	0
14073	FACILITY	guildbank_03	Cechovní skladitì	-664.7	-995.84	665.7	896.57	0	0	360	750000000	"90010,75/90011,75/90012,75"	60002	6	6	2	0
14074	FACILITY	yonggwangro	Pec na krystaly due	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20423	3	1	1	0
